Reporting Range=["Monthly"],Select year=["2025"],Select month=["December"],Search Term=["berberine"]
"Search Frequency Rank","Search Term","Top Clicked Brand #1","Top Clicked Brands #2","Top Clicked Brands #3","Top Clicked Category #1","Top Clicked Category #2","Top Clicked Category #3","Top Clicked Product #1: ASIN","Top Clicked Product #1: Product Title","Top Clicked Product #1: Click Share","Top Clicked Product #1: Conversion Share","Top Clicked Product #2: ASIN","Top Clicked Product #2: Product Title","Top Clicked Product #2: Click Share","Top Clicked Product #2: Conversion Share","Top Clicked Product #3: ASIN","Top Clicked Product #3: Product Title","Top Clicked Product #3: Click Share","Top Clicked Product #3: Conversion Share","Reporting Date"
"229186","berberine weight loss patches","VIORY","Adellina","Sunrogftic","Health & Personal Care","Beauty","Home","B0FPDLS4B1","VIORY Berberine Patches | Berberine Patch with L-Glutamine, Garcinia Cambogia, Resveratrol for Women & Men | 60 Days Supply","28.26","20.22","B0FMXXBBJH","Sunrogftic GLP-1 Patches, Natural Ingredients with Berberine, Cinnamon & L-Glutamine, Health Support & Physical Management, Transdermal Patch for Daily Wellness - 1 Packs, 30 Patches","7.08","4.37","B0FRN118X5","Ledisa Berberine Patches | Berberine Patch with L-Glutamine, Garcinia Cambogia, Resveratrol for Women & Men | 30 Days Supply","6.14","4.37","2025-12-31"
"241928","burnt berberine","Wild & Organic","Bunkka","Zypherionixis","Health & Personal Care",,,"B0DHLWWXVR","Wild & Organic Berberine Drops 500mg - Liquid Berberine Supplement HCL for Overall Support - Pure Extract Tincture - Vegan, Alcohol & Sugar-Free - 4 fl oz","12.15","11.04","B0CRCYJCLL","Bunkka (2 Pack) Berberine Supplement, Berberine Liquid Drops with Ceylon Cinnamon, Bitter Melon, Sugar-Free & Vegan Supplement Supports Immune System & Gastrointestinal Care - 4 FL Oz","9.77","6.02","B0FFMYYD63","Zypherionixis Liposomal Berberine HCL Supplement Liquid 3000mg - High Absorption Berberine Drops with Ceylon Cinnamon - 12-in-1 Formula AMPK Activator, Sugar Free - 2 fl oz","6.07","5.35","2025-12-31"
"255691","berberine 1500mg","NATUREBELL","PrimeMD","DR.WHITAKER","Health & Personal Care",,,"B01DWUEOYC","NatureBell Berberine Supplement 1,500mg with Ceylon Cinnamon & Turmeric Root, 240 Veggie Capsules | 97% Pure Berberine HCL | Supports Balanced Sugar Levels & Heart Health | Vegan, Non-GMO","15.95","12.8","B0DX7MB223","Super Berberine Supplement with Ceylon Cinnamon, BioPerine, Apple Cider, and Turmeric 1500mg - 8-in-1 Dihydroberberine Supplement for Overall Wellness and Balance Support, 120 ct","10.24","7.49","B0083V8UB4","Dr. Whitaker Clinical Grade Berberine | 1,500mg Per Daily Serving | 30 Day Supply","6.13","3.62","2025-12-31"
"256462","now berberine","NOW","Carlyle","Nutricost","Health & Personal Care",,,"B07PSMZ3J1","NOW Foods Supplements, Berberine Glucose Support, Combined with MCT Oil for Optimal Berberine Absorption, 90 Softgels","49.37","40.15","B0DXM7Q176","Now Supplements, Berberine HCL 500 mg, Supports Glucose Metabolism, 90 Veg Capsules","31.98","31.14","B0CJFXP7YX","Carlyle Berberine with Ceylon Cinnamon | 2000mg Complex | 60 Capsules | Vegetarian, Non-GMO, Gluten Free","4.89","0.0","2025-12-31"
"258715","berberine powder","BulkSupplements","Dibesity","Wild & Organic","Health & Personal Care","Grocery","Beauty","B01CUNY014","BulkSupplements.com Berberine HCl Powder - Berberine 500mg - Herbal Supplement - Fasting Supplement - Berberine Supplement - Digestive Enzymes (50 Grams - 1.8 oz)","37.61","34.03","B0FGWMX6R6","97% Pure Berberine Powder | 100g Plant-Based Extract, Highly Potent | 500 mg Per Serving | Gluten-Free, Vegan, Lab-Tested","9.08","7.99","B01CUNY000","BulkSupplements.com Berberine HCl Powder - Berberine Supplement, Berberine 500mg, Berberine Powder - Gluten Free, 500mg per Serving, 100g (3.5 oz) (Pack of 1)","6.13","6.6","2025-12-31"
"264888","berberine patch","VIORY","Kind Patches","Velzara","Health & Personal Care","Home","Beauty","B0FPDLS4B1","VIORY Berberine Patches | Berberine Patch with L-Glutamine, Garcinia Cambogia, Resveratrol for Women & Men | 60 Days Supply","19.67","15.11","B0FYRG4789","Kind Patches GLP-1 Patches with L Glutamine, Berberine, Chromium, Pomegranate and Cinnamon - 2 Pack, 60 Patches","14.34","10.07","B0FMKC7PV7","Arkture Berberine Patches for Women and Men, with Cinnamon, Pomegranate, 8-Hour Long-Lasting Formula Support, Applied to Various Parts of The Body, 30 Patches","6.56","5.04","2025-12-31"
"283914","js health berberine","JSHealth","THORNE","Carlyle","Health & Personal Care",,,"B0D55BB452","JSHealth Vitamins Berberine+ Formula — Berberine Supplement for Metabolic Health — Vegan, Gluten-Free & Non-GMO. (60 Tablets)","70.55","87.83","B009LI7VRC","THORNE - Berberine - Dual Action Formula with Phytosome Plus Botanical Extract - Support Heart Health, Immune System, Healthy GI & Cholesterol* - Gluten-Free - 30 Servings","5.01","3.04","B07J9KNS9G","JSHealth Vitamins Detox and Debloat Liver Health Formula | Liver Detox Pills | Debloating Formula with Milk Thistle, Turmeric, Fennel | Liver Cleanse Supplement (60 Tablets)","3.62","0.87","2025-12-31"
"303318","thorne berberine 500mg","THORNE","NOW","Double Wood Supplements","Health & Personal Care","Grocery",,"B009LI7VRC","THORNE - Berberine - Dual Action Formula with Phytosome Plus Botanical Extract - Support Heart Health, Immune System, Healthy GI & Cholesterol* - Gluten-Free - 30 Servings","81.0","79.25","B0DXM7Q176","Now Supplements, Berberine HCL 500 mg, Supports Glucose Metabolism, 90 Veg Capsules","3.54","3.0","B00F5US2BY","THORNE - Berberine - 200 mg (Formerly Berbercap) - Supports Heart Function, Immune System and Gut Health* - 60 Capsules","2.88","1.75","2025-12-31"
"314752","berberine 1000mg","Nature's Bounty","Natural Factors","NATURE TARGET","Health & Personal Care","Grocery",,"B0CNQC2TWG","Nature’s Bounty Berberine 1000mg Capsules, Supports Heart Health, Cholesterol & Blood Sugar Levels in a Normal Range, Non-GMO Supplement, 60 Count","26.09","25.19","B07F9565LN","Natural Factors WellBetX Berberine - Daily Supplement Supports Metabolic Health - Formula Supports Healthy Heart - Gluten-Free & Vegan - 120 Vegetarian Capsules (120 Servings)","7.76","5.54","B0DD6B85NL","NATURE TARGET Berberine HCl 1200mg, Berberine Supplement with Ceylon Cinnamon, Chromium, Non-GMO, 120 Capsules","4.77","4.03","2025-12-31"
"344822","organic berberine","DECENT NATURE","VEGATOT","Himalaya","Health & Personal Care",,,"B0D5MYQ6PP","Organic Berberine with Ceylon Cinnamon 2175mg - Premium berberine supplement high purity extract USDA Organic, support immune system, Berberine Plus Complex, Non-GMO Vegan for Men Women 90 Capsules","15.95","14.95","B0C16JBYZ2","VEGATOT GlucoSavior Berberine Supplement with Ceylon Cinnamon, Bitter Melon, Gymnema - Supports Immune, Heart Health & Gastrointestinal Function (150 Count (Pack of 1))","8.3","6.05","B0CD8PV49D","Pure Encapsulations Berberine UltraSorb - Enhanced Absorption Berberine Phytosome 550 mg - Supports Metabolic & Cardiometabolic Health* - 60 Capsules","4.48","2.85","2025-12-31"
"346147","berberine thorne","THORNE","Carlyle","Integrative Therapeutics","Health & Personal Care","Grocery","Pet Products","B009LI7VRC","THORNE - Berberine - Dual Action Formula with Phytosome Plus Botanical Extract - Support Heart Health, Immune System, Healthy GI & Cholesterol* - Gluten-Free - 30 Servings","67.04","60.98","B00F5US2BY","THORNE - Berberine - 200 mg (Formerly Berbercap) - Supports Heart Function, Immune System and Gut Health* - 60 Capsules","15.17","14.1","B0CJFXP7YX","Carlyle Berberine with Ceylon Cinnamon | 2000mg Complex | 60 Capsules | Vegetarian, Non-GMO, Gluten Free","5.52","0.66","2025-12-31"
"347783","double wood berberine","Double Wood Supplements","Carlyle","THORNE","Health & Personal Care",,,"B01ADU1OYW","Berberine Supplement 500mg, 60 Capsules (Third Party Tested, Non-GMO, Gluten Free, Vegan Safe) AMPK Activator - Berberine HCL for Cardiovascular Health by Double Wood","63.12","58.5","B0FPDQ38HG","Berberine with Ceylon Cinnamon (500mg and 2 Gram Equivalent Doses) 120 Capsules for Metabolism and Metabolic Health, Third Party Tested, Vegan Safe, Non-GMO, Gluten Free by Double Wood","18.25","13.73","B0CNS2PBHX","Dihydroberberine Supplement 100mg, 60 Capsules (Patented GlucoVantage Super Berberine, May be 5X More Effective Than Berberine with Less Side Effects) Third Party Tested, Vegan Safe by Double Wood","3.76","1.96","2025-12-31"
"351532","feel good berberine phytosome","FeelGood Superfoods",,"Enzymedica","Health & Personal Care",,,"B0DF83J5CL","Feelgood Company - Berberine - High Absorption - 2200mg Equivalent - Herbal Supplement - Lower Blood Glucose - Helps Cholesterol - 60 Capsules","61.79","43.45","B0DGBS5H4M","Feel Good Superfoods Berberine Phytosome, 120 Vegan Capsules","18.73","26.79","B0G1L6JQ4L","Feel Good Superfoods Berberine Phytosome, 120 Vegan Capsules + Vssl Store Sticker.","7.51","3.57","2025-12-31"
"353193","berberine supplement weight loss","Carlyle","Etta Vita","Aumeto","Health & Personal Care","Home",,"B0CJFXP7YX","Carlyle Berberine with Ceylon Cinnamon | 2000mg Complex | 60 Capsules | Vegetarian, Non-GMO, Gluten Free","15.0","3.91","B0CTKCNRQS","Berberine Supplement - Enhanced with Ceylon Cinnamon, Turmeric, Milk Thistle, Bitter Melon for Digestion, Immunity & Weight Managament (150 Count (Pack of 1))","11.75","10.43","B0F3QKYM9J","GLP-1 Supplement for Weight Loss & Appetite Control for Men and Women with Akkermansia, Berberine, Inulin, EGCG, Resveratrol, Hops, Polyphenols - Supports Digestion, Hunger, Cravings, Gut Health","8.21","4.35","2025-12-31"
"358697","clean nutra berberine with ceylon cinnamon supplement","Clean Nutraceuticals","NEW AGE","Nutribear","Health & Personal Care",,,"B0D75VX5ML","Clean Nutra Berberine with Ceylon Cinnamon Supplement Liquid Drops + Bitter Melon Extract, Glucomannan, Gymnema, Chromium, Turmeric, Organic Panax Ginseng, Moringa GLP-1 Support","61.11","58.94","B0D7537K4Z","Clean Nutra Cayenne Pepper Drops Supplement Liquid + Hawthorn Berry, Vitamin D3 K2 Beet Root Powder, Ceylon Cinnamon, Turmeric Curcumin, Organic Panax Ginseng, Berberine Extract 1 Pack","6.5","4.47","B0DPLG3Z7M","Clean Nutraceuticals Ceylon Cinnamon Powder, Green Tea Extract, Glucomannan, Berberine Supplement, Chromium Picolinate, Apple Cider Vinegar – Rainbow Sherbet Powder Sticks - 20 Count","5.14","0.41","2025-12-31"
"363673","burnt berberine powder","BulkSupplements","Dibesity","Wild & Organic","Health & Personal Care","Grocery",,"B01CUNY014","BulkSupplements.com Berberine HCl Powder - Berberine 500mg - Herbal Supplement - Fasting Supplement - Berberine Supplement - Digestive Enzymes (50 Grams - 1.8 oz)","30.38","32.0","B0FGWMX6R6","97% Pure Berberine Powder | 100g Plant-Based Extract, Highly Potent | 500 mg Per Serving | Gluten-Free, Vegan, Lab-Tested","14.65","15.6","B0F4DQCLBQ","DLNIA Liposomal Berberine Supplement – 3X Strength Berberine Matrix with DHB, Phospholipids, CoQ10, ALA, Vitamin D3, Chromium, Cinnamon – Advanced GLP-1 & Metabolic Support – 60 Count","7.28","4.0","2025-12-31"
"363673","pure berberine","Pure Encapsulations","PHYTOCHOICE","THORNE","Health & Personal Care","Books",,"B0CD8PV49D","Pure Encapsulations Berberine UltraSorb - Enhanced Absorption Berberine Phytosome 550 mg - Supports Metabolic & Cardiometabolic Health* - 60 Capsules","52.21","57.09","B0G18HYJ8F","Pure Berberine HCl 1200mg – High Absorption Berberine Supplement for Metabolic Health, Advanced Glucose Metabolism Support, Digestive & Gut Balance, Cellular Energy, Vegan, Non-GMO, Made in USA","5.9","5.91","B009LI7VRC","THORNE - Berberine - Dual Action Formula with Phytosome Plus Botanical Extract - Support Heart Health, Immune System, Healthy GI & Cholesterol* - Gluten-Free - 30 Servings","2.46","1.97","2025-12-31"
"367338","glamara berberine drops","Clean Nutraceuticals","VivoNu","Liberty Lifestyle","Health & Personal Care",,,"B0D75VX5ML","Clean Nutra Berberine with Ceylon Cinnamon Supplement Liquid Drops + Bitter Melon Extract, Glucomannan, Gymnema, Chromium, Turmeric, Organic Panax Ginseng, Moringa GLP-1 Support","54.52","50.0","B0G4LX1S57","14-in-1 Berberine with Ceylon Cinnamon Supplement Liquid Drops, 1800mg + 30:1 Liposomal Tech with Cayenne Pepper, Soursop, Chromium, Bitter Melon, Turmeric, Moringa, Gymnema, Glucomannan, GLP Support","15.29","15.98","B0F5M5KRV2","Berberine with Ceylon Cinnamon Supplement Liquid Drops + Bitter Melon Extract, Glucomannan, Gymnema, Chromium, Turmeric, Panax Ginseng, Moringa- 4 OZ","5.76","3.61","2025-12-31"
"380799","berberine tea","WACHINAS",,"AKAAYA TEA","Grocery","Health & Personal Care",,"B0FS1FPKZ8","GLP-1 Berberine Tea - Glucose Functional Tea with Ceylon Cinnamon, Milk Thistle, Bitter Melon, Hibiscus Flowers - Vitality & Wellness - Caffeine-Free - Organic Plant-Based Teabags Pyramids - 30 ct","29.63","31.0","B0DLY4N9XJ","Berberine Tea 45g Natural Organic Caffeine-Free Blend Non-GMO Herbal in Plastic-Free Stand Alone Pouch Delicious Antioxidant for Immune Support","12.14","4.0","B0F2FMGB41","Akaaya Berberine Tea – Herbal Detox Tea with Berberine, Licorice, Stevia, Cinnamon & Black Pepper – Caffeine-Free – 21 Sachets – Non-GMO, ISO 9001:2015 Certified","9.98","4.0","2025-12-31"
"431304","liquid berberine","Clean Nutraceuticals","Zypherionixis","Bunkka","Health & Personal Care","Grocery",,"B0D75VX5ML","Clean Nutra Berberine with Ceylon Cinnamon Supplement Liquid Drops + Bitter Melon Extract, Glucomannan, Gymnema, Chromium, Turmeric, Organic Panax Ginseng, Moringa GLP-1 Support","35.12","28.32","B0CRCYJCLL","Bunkka (2 Pack) Berberine Supplement, Berberine Liquid Drops with Ceylon Cinnamon, Bitter Melon, Sugar-Free & Vegan Supplement Supports Immune System & Gastrointestinal Care - 4 FL Oz","6.4","4.42","B0FFMYYD63","Zypherionixis Liposomal Berberine HCL Supplement Liquid 3000mg - High Absorption Berberine Drops with Ceylon Cinnamon - 12-in-1 Formula AMPK Activator, Sugar Free - 2 fl oz","5.7","3.98","2025-12-31"
"446682","solaray berberine","SOLARAY","Carlyle","NOW","Health & Personal Care",,,"B07BVZL4GB","SOLARAY Berberine 500mg - Berberine Supplement for a Healthy, Active Lifestyle - with Berberine HCl from Indian Barberry - Vegan, Non-GMO, 60-Day Guarantee - 60 Servings, 60 VegCaps (60 CT)","41.16","34.58","B087YD4LSH","SOLARAY Berberine 500mg - Berberine Supplement for a Healthy, Active Lifestyle - with Berberine HCl from Indian Barberry - Vegan, Non-GMO, 60-Day Guarantee, Lab Verified - 100 Servings, 100 VegCaps","29.24","22.5","B0CD2XQGFH","SOLARAY Berberine Phytosome - 9X Absorption and Easy-to-Digest - Standardized to 30% Berberine HCl - Vegan, Made Without Soy - 60-Day Guarantee - 30 Servings, 30 VegCaps","18.41","12.5","2025-12-31"
"467991","berberine capsules","Luma Nutrition","Nature's Bounty","Carlyle","Health & Personal Care","Grocery",,"B08DHC29R6","Luma Nutrition Berberine Supplement - Berberine HCL 1200mg Per Serving - Vegan, Gluten Free, Non-GMO - 60 Capsules","11.08","11.37","B0CNQC2TWG","Nature’s Bounty Berberine 1000mg Capsules, Supports Heart Health, Cholesterol & Blood Sugar Levels in a Normal Range, Non-GMO Supplement, 60 Count","10.96","8.53","B0CJFXP7YX","Carlyle Berberine with Ceylon Cinnamon | 2000mg Complex | 60 Capsules | Vegetarian, Non-GMO, Gluten Free","6.3","4.74","2025-12-31"
"482844","berberine now","NOW","Carlyle","Nutricost","Health & Personal Care",,,"B07PSMZ3J1","NOW Foods Supplements, Berberine Glucose Support, Combined with MCT Oil for Optimal Berberine Absorption, 90 Softgels","49.09","41.25","B0DXM7Q176","Now Supplements, Berberine HCL 500 mg, Supports Glucose Metabolism, 90 Veg Capsules","25.84","23.75","B0CJFXP7YX","Carlyle Berberine with Ceylon Cinnamon | 2000mg Complex | 60 Capsules | Vegetarian, Non-GMO, Gluten Free","7.66","0.63","2025-12-31"
"500098","swanson berberine","Swanson","SOLARAY","NOW","Health & Personal Care",,,"B0B4BFS39N","Swanson Berberine Advanced Enhanced Absorption - Featuring Berbevis 550 mg 30 Veg Caps","48.12","26.36","B07FQM42YV","Swanson Berberine - Standardized 97% Berberine HCl- 400mg Each - 60 Capsules 2 Bottles","23.39","31.82","B0C822TQ1H","Swanson Berberine Advanced Enhanced Absorption - Featuring Berbevis 550 mg 30 Veg Caps (2 Pack)","6.18","2.73","2025-12-31"
"505725","bettervits berberine","Bettervits","Luma Nutrition","Nature's Bounty","Health & Personal Care",,,"B0FKBMXMRR","Bettervits Berberine 1000mg HCL for Optimal Absorption | Berberine Supplement for Metabolism and Weight Management | 60 Vegan Capsules","69.97","65.91","B08DHC29R6","Luma Nutrition Berberine Supplement - Berberine HCL 1200mg Per Serving - Vegan, Gluten Free, Non-GMO - 60 Capsules","5.43","2.84","B0CNQC2TWG","Nature’s Bounty Berberine 1000mg Capsules, Supports Heart Health, Cholesterol & Blood Sugar Levels in a Normal Range, Non-GMO Supplement, 60 Count","5.3","3.98","2025-12-31"
"507886","berberine supplements capsules","NUTRIFLAIR","Carlyle","Luma Nutrition","Health & Personal Care",,,"B07WHQLDM6","NutriFlair Berberine with Ceylon Cinnamon 1450mg Supplement – 120 Capsules | High Potency Formula with Berberine HCl & Organic Ceylon Cinnamon | Non-GMO, Vegan, Gluten-Free","38.74","42.17","B0CJFXP7YX","Carlyle Berberine with Ceylon Cinnamon | 2000mg Complex | 60 Capsules | Vegetarian, Non-GMO, Gluten Free","11.87","1.2","B0F6VNKSLC","NutriFlair Berberine 97% HCl with Ceylon Cinnamon Supplement, 120 Capsules – High Potency, Premium Quality, Vegan-Friendly – 60 Servings","6.68","6.43","2025-12-31"
