Reporting Range=["Monthly"],Select year=["2025"],Select month=["November"],Search Term=["berberine"]
"Search Frequency Rank","Search Term","Top Clicked Brand #1","Top Clicked Brands #2","Top Clicked Brands #3","Top Clicked Category #1","Top Clicked Category #2","Top Clicked Category #3","Top Clicked Product #1: ASIN","Top Clicked Product #1: Product Title","Top Clicked Product #1: Click Share","Top Clicked Product #1: Conversion Share","Top Clicked Product #2: ASIN","Top Clicked Product #2: Product Title","Top Clicked Product #2: Click Share","Top Clicked Product #2: Conversion Share","Top Clicked Product #3: ASIN","Top Clicked Product #3: Product Title","Top Clicked Product #3: Click Share","Top Clicked Product #3: Conversion Share","Reporting Date"
"196102","berberine hcl","Nutricost","NATURE TARGET","NOW","Health & Personal Care","Home",,"B0DD6B85NL","NATURE TARGET Berberine HCl 1200mg, Berberine Supplement with Ceylon Cinnamon, Chromium - Supports Immune, Gastrointestinal & Heart Health, Non-GMO, 120 Capsules","11.68","10.86","B0CZMDPWG5","Nutricost Berberine HCl with Ceylon Cinnamon Capsules (120 Capsules, 60 Servings) - Non-GMO, Animal-Free Product","9.73","10.62","B0DXM7Q176","NOW Supplements, Berberine HCL 500 mg, Supports Glucose Metabolism, 90 Veg Capsules","8.72","8.89","2025-11-30"
"216302","berberine 1500mg","NATUREBELL","PrimeMD","DR.WHITAKER","Health & Personal Care","Home",,"B01DWUEOYC","Berberine Supplement 1,500mg with Ceylon Cinnamon & Turmeric Root, 240 Veggie Capsules | 97% Pure Berberine HCL | Supports Balanced Sugar Levels & Heart Health | Vegan, Non-GMO","11.08","9.07","B0DX7MB223","Super Berberine Supplement with Ceylon Cinnamon, BioPerine, Apple Cider, and Turmeric 1500mg - 8-in-1 Dihydroberberine Supplement for Overall Wellness and Balance Support, 120 ct","8.15","5.41","B0083V8UB4","Dr. Whitaker Clinical Grade Berberine | 1,500mg Per Daily Serving | 30 Day Supply","6.45","3.47","2025-11-30"
"221575","liposomal berberine","CaelumCore","Rho Nutrition","KoNefancy","Health & Personal Care","Beauty",,"B0DBLHXG3Z","CaelumCore Liposomal Berberine HCL - Berberine 1500mg Activates AMPK, High Bioavailability Berberines Supplement for Women and Men, Supports Body Balance","14.28","12.21","B0D9ZTJXRC","Rho Nutrition Liposomal Berberine Capsules - Ultra High Absorption Supplement – Supports Immune Function, Gut Health and Metabolic and Cardiovascular Health (60 Capsules)","9.21","5.45","B0CGZZYT7Q","Berberine HCL Supplement 1500mg - Third Party Tested, High Bioavailability Liposomal Berberine Capsules for Women and Men, AMPK Activator","7.4","6.49","2025-11-30"
"222776","js health berberine","JSHealth","THORNE","NUTRIFLAIR","Health & Personal Care",,,"B0D55BB452","JSHealth Vitamins Berberine+ Formula — Berberine Supplement for Metabolic Health — Vegan, Gluten-Free & Non-GMO. (60 Tablets)","79.21","88.85","B07J9KNS9G","JSHealth Vitamins Detox and Debloat Liver Health Formula | Liver Detox Pills | Debloating Formula with Milk Thistle, Turmeric, Fennel | Liver Cleanse Supplement (60 Tablets)","3.62","1.12","B009LI7VRC","THORNE - Berberine - Dual Action Formula with Phytosome Plus Botanical Extract - Support Heart Health, Immune System, Healthy GI & Cholesterol* - Gluten-Free - 30 Servings","2.62","1.49","2025-11-30"
"225601","now berberine","NOW","Nutricost","THORNE","Health & Personal Care","Audible",,"B07PSMZ3J1","NOW Foods Supplements, Berberine Glucose Support, Combined with MCT Oil for Optimal Berberine Absorption, 90 Softgels","39.24","34.91","B0DXM7Q176","NOW Supplements, Berberine HCL 500 mg, Supports Glucose Metabolism, 90 Veg Capsules","36.52","31.36","B0F9RZK9KD","NOW Supplements, Berberine Glucose Support, Combined with MCT Oil for Optimal Berberine Absorption, 60 Softgels","11.13","8.88","2025-11-30"
"248810","berberine'","Nature's Bounty","THORNE","DOCTOR RECOMMENDED SUPPLEMENTS","Health & Personal Care","Beauty",,"B0CNQC2TWG","Nature’s Bounty Berberine 1000mg Capsules, Supports Heart Health, Cholesterol & Blood Sugar Levels in a Normal Range, Non-GMO Supplement, 60 Count","12.56","10.39","B009LI7VRC","THORNE - Berberine - Dual Action Formula with Phytosome Plus Botanical Extract - Support Heart Health, Immune System, Healthy GI & Cholesterol* - Gluten-Free - 30 Servings","8.07","5.02","B07V2ZLY4N","DOCTOR RECOMMENDED SUPPLEMENTS Berberine Plus 1200mg Per Serving - 120 Veggie Capsules with Royal Jelly","5.38","5.38","2025-11-30"
"250786","berberine powder","BulkSupplements","UpNourish","Dibesity","Health & Personal Care","Grocery","Home","B01CUNY014","BulkSupplements.com Berberine HCl Powder - Berberine 500mg - Herbal Supplement - Fasting Supplement - Berberine Supplement - Digestive Enzymes (50 Grams - 1.8 oz)","23.12","19.05","B0FS2QNV3P","UpNourish Liposomal Berberine Supplement - Advanced Berberine HCl 1000mg Plus Ceylon Cinnamon, Chromium Picolinate, Curcuminoids, Resveratrol, Green Tea and Yerba Mate - 90 Vegan Capsules","6.78","2.6","B0FGWMX6R6","97% Pure Berberine Powder | 100g Plant-Based Extract, Highly Potent | 500 mg Per Serving | Gluten-Free, Vegan, Lab-Tested","5.95","5.19","2025-11-30"
"283078","thorne berberine 500mg","THORNE","NOW","Double Wood Supplements","Health & Personal Care",,,"B009LI7VRC","THORNE - Berberine - Dual Action Formula with Phytosome Plus Botanical Extract - Support Heart Health, Immune System, Healthy GI & Cholesterol* - Gluten-Free - 30 Servings","79.42","78.16","B00F5US2BY","THORNE - Berberine - 200 mg (Formerly Berbercap) - Supports Heart Function, Immune System and Gut Health* - 60 Capsules","3.64","2.98","B01ADU1OYW","Berberine Supplement 500mg, 60 Capsules (Third Party Tested, Non-GMO, Gluten Free, Vegan Safe) AMPK Activator - Berberine HCL for Cardiovascular Health by Double Wood","3.22","0.74","2025-11-30"
"313566","organic berberine","DECENT NATURE","VEGATOT","Wild & Organic","Health & Personal Care",,,"B0D5MYQ6PP","Organic Berberine with Ceylon Cinnamon 2175mg - Premium berberine supplement high purity extract USDA Organic, support immune system, Berberine Plus Complex, Non-GMO Vegan for Men Women 90 Capsules","16.74","14.55","B0C16JBYZ2","VEGATOT GlucoSavior Berberine Supplement with Ceylon Cinnamon, Bitter Melon, Gymnema - Supports Immune, Heart Health & Gastrointestinal Function - Made in The USA (150 Count (Pack of 1))","8.98","4.85","B0DWYGWVTG","Berberine Supplement 1200mg – Organic Berberine Weight Loss, Metabolic & Heart Health Support – High Absorbency Pure Berberine HCl Formula – 60 Capsules","5.14","1.12","2025-11-30"
"330369","hum berberine supplement","HUM","THORNE","NUTRIFLAIR","Health & Personal Care",,,"B0CJTL53NK","HUM Best of Berberine Supplement 1200mg, Pure Potency for Metabolic Wellness, Gut Health, Pure Berberine Supplements Enhanced with BioPerine for Maximum Absorption, 60 Capsules","66.54","71.21","B0FRN8Y4KB","HUM Best of Berberine Supplement Flatter Me Fiber Supplement","18.11","10.1","B009LI7VRC","THORNE - Berberine - Dual Action Formula with Phytosome Plus Botanical Extract - Support Heart Health, Immune System, Healthy GI & Cholesterol* - Gluten-Free - 30 Servings","2.36","0.51","2025-11-30"
"339747","berberine supplement weight loss","PristineRoot","Aumeto","Carlyle","Health & Personal Care","Prescription_Drugs",,"B0DWYGWVTG","Berberine Supplement 1200mg – Organic Berberine Weight Loss, Metabolic & Heart Health Support – High Absorbency Pure Berberine HCl Formula – 60 Capsules","10.31","7.34","B0CTKCNRQS","Berberine Supplement - Enhanced with Ceylon Cinnamon, Turmeric, Milk Thistle, Bitter Melon for Digestion, Immunity & Weight Managament (150 Count (Pack of 1))","9.71","7.34","B0CJFXP7YX","Carlyle Berberine with Ceylon Cinnamon | 2000mg Complex | 60 Capsules | Vegetarian, Non-GMO, Gluten Free","6.77","3.67","2025-11-30"
"340780","berberine thorne","THORNE","Pure Encapsulations","Double Wood Supplements","Health & Personal Care","Grocery","Pet Products","B009LI7VRC","THORNE - Berberine - Dual Action Formula with Phytosome Plus Botanical Extract - Support Heart Health, Immune System, Healthy GI & Cholesterol* - Gluten-Free - 30 Servings","74.85","76.82","B00F5US2BY","THORNE - Berberine - 200 mg (Formerly Berbercap) - Supports Heart Function, Immune System and Gut Health* - 60 Capsules","11.87","7.61","B0CD8PV49D","Pure Encapsulations Berberine UltraSorb - Enhanced Absorption Berberine Phytosome 550 mg - Supports Metabolic & Cardiometabolic Health* - 60 Capsules","1.32","0.69","2025-11-30"
"345565","burnt berberine","Wild & Organic","Bunkka","Clean Nutraceuticals","Health & Personal Care",,,"B0DHLWWXVR","Wild & Organic Berberine Drops 500mg - Liquid Berberine Supplement HCL for Overall Support - Pure Extract Tincture - Vegan, Alcohol & Sugar-Free - 4 fl oz","16.75","13.99","B0CRCYJCLL","Bunkka (2 Pack) Berberine Supplement, Berberine Liquid Drops with Ceylon Cinnamon, Bitter Melon, Sugar-Free & Vegan Supplement Supports Immune System & Gastrointestinal Care - 4 FL Oz","12.13","12.44","B0DZWVHR4C","Berberine Drops, High Absorption 6-in-1 Liquid Berberine Supplement with Ceylon Cinnamon Milk Thistle Turmeric, Premium Berberine HCl for Immune Function Metabolic & Digestive Support, 30 Servings","6.47","5.18","2025-11-30"
"357928","clean nutra berberine with ceylon cinnamon supplement","Clean Nutraceuticals","Liberty Lifestyle","Nutribear","Health & Personal Care",,,"B0D75VX5ML","Clean Nutra Berberine with Ceylon Cinnamon Supplement Liquid Drops + Bitter Melon Extract, Glucomannan, Gymnema, Chromium, Turmeric, Organic Panax Ginseng, Moringa GLP-1 Support","68.94","68.17","B0FBKVLYG1","Clean Nutra Berberine and Ceylon Cinnamon Supplement Bitter Melon Glucomannan Gymnema Sylvestre Chromium Moringa Milk Thistle Turmeric Apple Cider Vinegar Digestive Enzymes Inositol Pills 90 Capsules","5.53","3.81","B0F5M5KRV2","Berberine with Ceylon Cinnamon Supplement Liquid Drops + Bitter Melon Extract, Glucomannan, Gymnema, Chromium, Turmeric, Panax Ginseng, Moringa- 4 OZ","4.68","3.81","2025-11-30"
"360383","double wood berberine","Double Wood Supplements","THORNE","Toniiq","Health & Personal Care",,,"B01ADU1OYW","Berberine Supplement 500mg, 60 Capsules (Third Party Tested, Non-GMO, Gluten Free, Vegan Safe) AMPK Activator - Berberine HCL for Cardiovascular Health by Double Wood","69.27","66.18","B0FPDQ38HG","Berberine with Ceylon Cinnamon (500mg and 2 Gram Equivalent Doses) 120 Capsules for Metabolism and Metabolic Health, Third Party Tested, Vegan Safe, Non-GMO, Gluten Free by Double Wood","17.34","13.45","B0CNS2PBHX","Dihydroberberine Supplement 100mg, 60 Capsules (Patented GlucoVantage Super Berberine, May be 5X More Effective Than Berberine with Less Side Effects) Third Party Tested, Vegan Safe by Double Wood","4.28","2.55","2025-11-30"
"371007","pure berberine","Pure Encapsulations","THORNE","Nature's Bounty","Health & Personal Care",,,"B0CD8PV49D","Pure Encapsulations Berberine UltraSorb - Enhanced Absorption Berberine Phytosome 550 mg - Supports Metabolic & Cardiometabolic Health* - 60 Capsules","52.42","63.1","B0CNQC2TWG","Nature’s Bounty Berberine 1000mg Capsules, Supports Heart Health, Cholesterol & Blood Sugar Levels in a Normal Range, Non-GMO Supplement, 60 Count","3.63","1.98","B009LI7VRC","THORNE - Berberine - Dual Action Formula with Phytosome Plus Botanical Extract - Support Heart Health, Immune System, Healthy GI & Cholesterol* - Gluten-Free - 30 Servings","3.52","1.98","2025-11-30"
"372634","berberine 1000mg","Nature's Bounty","Natural Factors","NATURE TARGET","Health & Personal Care","Pet Products",,"B0CNQC2TWG","Nature’s Bounty Berberine 1000mg Capsules, Supports Heart Health, Cholesterol & Blood Sugar Levels in a Normal Range, Non-GMO Supplement, 60 Count","23.78","27.61","B07F9565LN","Natural Factors WellBetX Berberine - Daily Supplement Supports Metabolic Health - Formula Supports Healthy Heart - Gluten-Free & Vegan - 120 Vegetarian Capsules (120 Servings)","8.19","5.21","B0DD6B85NL","NATURE TARGET Berberine HCl 1200mg, Berberine Supplement with Ceylon Cinnamon, Chromium - Supports Immune, Gastrointestinal & Heart Health, Non-GMO, 120 Capsules","7.19","6.75","2025-11-30"
"388598","berberine patches weight loss","Wanerbsr","Xagnum Bolace","Vytadose","Health & Personal Care","Beauty","Home","B0FMNWBBRS","GLP-1 Patches with L-Glutamine, Berberine, Natural Support, Expert Formulated for Men and Women, 30 Count","19.47","15.38","B0FPF11BNP","Xagnum Bolace GLP-1 Patches with L Glutamine, Berberine, and Cinnamon, Natural Ingredients Patches for Men and Women - 30 C","10.02","7.69","B0FRNJXN7L","Vytadose Extra Strength GLP1 Patches – 10x Stronger Formula with Berberine, Green Tea & Pomegranate – New & Improved Kind of Patch -These are Kind Patches for Your Skin+GLP-1 Patch for Hunger Support","9.56","4.2","2025-11-30"
"401855","feel good berberine phytosome","FeelGood Superfoods",,"Enzymedica","Health & Personal Care",,,"B0DF83J5CL","Feelgood Superfoods Berberine - High Absorption - 2200mg Equivalent - Herbal Supplement - Lower Blood Glucose - Helps Cholesterol - 60 Capsules","67.98","69.19","B0DGBS5H4M","Feel Good Superfoods Berberine Phytosome, 120 Vegan Capsules","12.38","9.88","B0G1L6JQ4L","Feel Good Superfoods Berberine Phytosome, 120 Vegan Capsules + Vssl Store Sticker.","6.07","2.91","2025-11-30"
"431822","berberine now","NOW","Nutricost","Nature's Bounty","Health & Personal Care",,,"B07PSMZ3J1","NOW Foods Supplements, Berberine Glucose Support, Combined with MCT Oil for Optimal Berberine Absorption, 90 Softgels","41.76","33.16","B0DXM7Q176","NOW Supplements, Berberine HCL 500 mg, Supports Glucose Metabolism, 90 Veg Capsules","31.8","34.69","B0F9RZK9KD","NOW Supplements, Berberine Glucose Support, Combined with MCT Oil for Optimal Berberine Absorption, 60 Softgels","13.15","10.2","2025-11-30"
"444055","bettervits berberine","Bettervits","Nature's Bounty","THORNE","Health & Personal Care",,,"B0FKBMXMRR","Bettervits Berberine Complex","62.86","54.86","B0CNQC2TWG","Nature’s Bounty Berberine 1000mg Capsules, Supports Heart Health, Cholesterol & Blood Sugar Levels in a Normal Range, Non-GMO Supplement, 60 Count","4.72","2.08","B009LI7VRC","THORNE - Berberine - Dual Action Formula with Phytosome Plus Botanical Extract - Support Heart Health, Immune System, Healthy GI & Cholesterol* - Gluten-Free - 30 Servings","4.59","3.47","2025-11-30"
"492370","solaray berberine","SOLARAY","NOW","Natural Factors","Health & Personal Care",,,"B087YD4LSH","SOLARAY Berberine 500mg - Berberine Supplement for a Healthy, Active Lifestyle - with Berberine HCl from Indian Barberry - Vegan, Non-GMO, 60-Day Guarantee, Lab Verified - 100 Servings, 100 VegCaps","55.15","38.38","B0CD2XQGFH","SOLARAY Berberine Phytosome - 9X Absorption and Easy-to-Digest - Standardized to 30% Berberine HCl - Vegan, Made Without Soy - 60-Day Guarantee - 30 Servings, 30 VegCaps","21.77","19.46","B07BVZL4GB","SOLARAY Berberine 500mg - Berberine Supplement for a Healthy, Active Lifestyle - with Berberine HCl from Indian Barberry - Vegan, Non-GMO, 60-Day Guarantee, Lab Verified - 60 Servings, 60 VegCaps","9.29","7.57","2025-11-30"
"494607","luma nutrition berberine","Luma Nutrition","NUTRIFLAIR","Nutricost","Health & Personal Care",,,"B08DHC29R6","Luma Nutrition Berberine Supplement - Berberine HCL 1200mg Per Serving - Vegan, Gluten Free, Non-GMO - 60 Capsules","70.12","79.81","B0CTN3H8HD","Luma Nutrition Citrus Bergamot 1000mg - Citrus Bergamot Supplement - Made in The USA - Veteran Owned - 60 Capsules","5.25","2.4","B08HHQWBBZ","NutriFlair Premium Berberine HCL 1200mg, 120 Capsules - Plus Pure True Ceylon Cinnamon, Berberine HCI Root Supplements Pills - Immune System - yields an Optimal 8% HCl","4.81","3.85","2025-11-30"
"499040","thorne berberine dual action","THORNE","ForestLeaf","SOLARAY","Health & Personal Care","Grocery",,"B009LI7VRC","THORNE - Berberine - Dual Action Formula with Phytosome Plus Botanical Extract - Support Heart Health, Immune System, Healthy GI & Cholesterol* - Gluten-Free - 30 Servings","77.21","70.68","B00F5US2BY","THORNE - Berberine - 200 mg (Formerly Berbercap) - Supports Heart Function, Immune System and Gut Health* - 60 Capsules","3.38","1.57","B087YD4LSH","SOLARAY Berberine 500mg - Berberine Supplement for a Healthy, Active Lifestyle - with Berberine HCl from Indian Barberry - Vegan, Non-GMO, 60-Day Guarantee, Lab Verified - 100 Servings, 100 VegCaps","2.65","0.52","2025-11-30"
"499838","berberine 500 mg","NATUREBELL","NOW","Puritan's Pride","Health & Personal Care",,,"B0C7FF131K","NatureBell Berberine Supplement 500mg | 300 Veggie Capsules, 97% Pure Berberine HCL – 5:1 Root Extract – Plant Based, Vegan, Non-GMO","20.18","17.89","B0DXM7Q176","NOW Supplements, Berberine HCL 500 mg, Supports Glucose Metabolism, 90 Veg Capsules","10.01","9.76","B07W3P7STQ","Puritan's Pride Berberine 500 mg, Dietary Supplement Support for Heart Health, Weight Loss, Support Blood Sugar and Cholesterol, 1 Month Supply, 60 Capsules","8.84","7.32","2025-11-30"
"501306","kind patches berberine","Kind Patches","ASDF Cutra",,"Health & Personal Care","Lawn and Garden","Beauty","B0FK194S3Q","GLP-1 Patches by Kind Patches for Women and Men - 4 Pack, 120 Count","19.35","11.7","B0FYRG4789","Kind Patches GLP-1 Patches with L Glutamine, Berberine, Chromium, Pomegranate and Cinnamon - 2 Pack, 60 Patches","14.33","18.09","B0FNJVG9WQ","ASDF Cutra. GLP-1 Patches for Women and Men, with Berberine, L-Glutamine, and Cinnamon, Natural Ingredients Patche - 1 Packs, 30 Patches","9.31","10.64","2025-11-30"
"516907","berberine capsules","Luma Nutrition","Nature's Bounty","Carlyle","Health & Personal Care","Grocery","Books","B08DHC29R6","Luma Nutrition Berberine Supplement - Berberine HCL 1200mg Per Serving - Vegan, Gluten Free, Non-GMO - 60 Capsules","10.96","16.11","B0CNQC2TWG","Nature’s Bounty Berberine 1000mg Capsules, Supports Heart Health, Cholesterol & Blood Sugar Levels in a Normal Range, Non-GMO Supplement, 60 Count","8.52","5.56","B0CJFXP7YX","Carlyle Berberine with Ceylon Cinnamon | 2000mg Complex | 60 Capsules | Vegetarian, Non-GMO, Gluten Free","5.48","1.67","2025-11-30"
"526707","berberine complex","Integrative Therapeutics","VEGATOT","Clean Nutraceuticals","Health & Personal Care",,,"B003FIMNJK","Integrative Therapeutics Berberine Complex - Digestive & Gut Health Supplement* - Vegan, Gluten-Free & Dairy-Free - 90 Capsules (45 Servings)","39.22","42.07","B0C16JBYZ2","VEGATOT GlucoSavior Berberine Supplement with Ceylon Cinnamon, Bitter Melon, Gymnema - Supports Immune, Heart Health & Gastrointestinal Function - Made in The USA (150 Count (Pack of 1))","6.05","6.1","B0FK6Q52X2","JUST INGREDIENTS Berberine Supplement – 30-Capsule Herbal Support Formula with Organic Berberis Aristata – Traditionally Used for Metabolic Health, Cellular Function & Overall Wellness.","2.79","3.66","2025-11-30"
"550331","ultra berberine","FORCE FACTOR","Ultra6 Nutrition","ForestLeaf","Health & Personal Care","Beauty",,"B0CQ3V2PZW","FORCE FACTOR Ultra Berberine, Berberine Supplement with 500mg Berberine HCl Plus Chromium & Cinnamon Bark Extract to Support Metabolism & Daily Wellness, Non-GMO, Gluten Free, 60 Vegetable Capsules","51.62","55.28","B0FMCT4SM2","Force Factor Ultra Berberine Enhanced Absorption, with GlucoVantage Dihydroberberine & Chromium, 5X Better Absorption, Lasts 2X Longer, Gentle on The Stomach, Chocolate, 60 Soft Chews","16.18","9.32","B0F98CLT2T","Ultra Berberine Supplement Capsules 600mg (1200mg to 1800mg Daily) – Pure Berberine HCL Supplement to Support Metabolism & Daily Vitality – Vegan, Gluten-Free Diet Supplements (90 Capsules)","10.52","9.94","2025-11-30"
